question,answer
I costi di preparazione sono previsti anche per gli ordini con ritiro in Negozio?,"La preparazione comprende tutte le attività di movimentazione della merce utili alla sua protezione e messa in sicurezza, imballaggio e stoccaggio fino al ritiro.I costi di preparazione sono calcolatiapplicando il 2% sul totale dell'ordine, perun minimo di €2 e un massimo di €40.Esempio:Con un ordine di €300 il costo della preparazione è €6 (2% sul totale dell'ordine), per ordini di €50 il valore della preparazione è di €2 (costo minimo) e ordini di €2.500 il costo è di €40 (costo massimo)."
Chi non ha la partita Iva può acquistare in Tecnomat?,"In Tecnomat possono acquistare clienti privati e professionisti con partita Iva.Abbiamo una formula divendita all'ingrosso e al dettagliopensata per qualsiasi cliente che ha bisogno di prodotti in grandi quantità, ad un prezzo basso e sotto lo stesso tetto.Come posso acquistare?Per acquistare puoi passare in uno deinegozi Tecnomato online in pochi e semplici passaggi:Vai sul sitowww.tecnomat.iteseleziona il negozioda cui vuoi acquistareQuando entri per la prima volta sul sito, scegli il negozio più vicino a te o il negozio di riferimento perpoter conoscere prodotti, gamme, prezzi e disponibilità del punto vendita selezionato. Puoi modificare la tua scelta in qualsiasi momento in modo facile e veloce, vai sul nome del negozio e clicca ""cambia negozio"".crea il tuo carrelloe procedi all'acquistoPer acquistare su Tecnomat devi essere registrato. Se hai già un account accedi con il tuo indirizzo, email e password, se sei un nuovo clienteprocedi alla registrazione.scegli sericevere il tuo ordinea casa oritirarlo nel negozioselezionato in precedenzaPer conoscere i tempi di preparazione e spedizione del tuo negozio di riferimento, puoi verificare direttamente nella scheda del prodotto o a carrello.seleziona ilmetodo di pagamento,controlla i dettaglidel tuo ordine eprocedi all'acquisto.Puoi controllare sempre tutti i dettagli relativi al tuo ordine nella tua Area personale."
Ci sono costi di giacenza se non ritiro l'ordine in negozio?,"Tecnomat non effettua servizio di deposito el'ordine deve essere ritirato entro 7 giorni dalla ricezione della emaildi merce pronta per il ritiro.Decorsi 7 giorni, Tecnomat custodisce i prodotti per conto del cliente per ulteriori 7 giorni lavorativi, presso il negozio prescelto ad uncosto di giacenza pari a €3 al giornoper ogni bancale, addebitati al momento del ritiro e a discrezione del negozio.Per ulteriori informazioni consulta lapagina ritiro in negozio."
Sito in manutenzione. Cosa posso fare?,"La manutenzione del sito Tecnomat è importante per garantire sempre le migliori prestazioni.Durante l'aggiornamento il sito è irraggiungibilee l'attività di manutenzione può richiedere del tempo,ti consigliamo di provare ad accedere al sito più tardiper continuare la navigazione.Se stavi acquistando online e non sai se il pagamento è andato a buon fine o hai bisogno di supporto su un ordine,Contatta il nostro servizio clienti.Ci scusiamo in anticipo per l'inconveniente."
Quali sono i tempi di consegna?,"I tempi di preparazione e spedizione sono, in media, di10 giorni lavorativie possono variare in base a:prodottirichiestinegozioin cui viene fatto l’ordinedistanzadal punto venditalocalitàdi spedizione.Incaso di bonifico, le tempistiche partono dalla data di ricezione del pagamento.L'ordine èspedito quando tutti i prodotti che hai ordinato sono disponibilie i tempi di consegna variano a seconda del trasportatore incaricato.Per ulteriori informazioni consulta lapagina Spedizioni e Consegne."
Posso controllare lo stato della spedizione?,Non appena l'ordine è affidato al corriere riceverai unaemail di confermadi avvenuta presa in carico dei tuoi prodotti.Successivamente il corriere ti contatteràtelefonicamenteper concordare l'appuntamento e una fascia oraria di sicuro presidio (evitando che la merce vada in giacenza).
Quanto costa la consegna?,"Gli ordini con consegna prevedono sempre costi di preparazione e di spedizione.I costi di preparazione sono necessari per l'imballaggio e la movimentazione della merce mentre i costi di spedizione sono le spese di trasporto calcolate in automatico sulla base del peso, volume, tipologia di prodotto e distanza dal negozio scelto.Icosti di trasportopossono esserecalcolati direttamente sul sito, indicando il CAP di destinazione in fase di acquisto.Il sistema determina i costi di trasporto solo per ordini che hanno raggiunto ilcarrello minimo per poter acquistare online, compara le tariffe e sceglie esclusivamente il corriere più conveniente.Per effettuare il calcolo vengono considerati:pesovolumedistanza.Il costo di consegna a carrello è un valore stimato, latariffa corretta è visibile a checkoutdopo aver inserito l'indirizzo di consegna dell'ordine.Se il sistema non è in grado di calcolare i costi, ti viene proposto diinviare una richiesta di preventivo, in modo che il negozio può calcolarli tempestivamente e darti riscontro con una email."
Effettuate il servizio di consegna a domicilio?,"La consegna a domicilio è un servizio che puoi scegliere per i tuoi acquisti in negozio e online.Chiediin negozio un preventivo direttamente all'Accoglienzaoacquista onlinee, dopo aver creato il tuo carrello, scegli la consegna per poter ricevere i tuoi prodotti direttamente a casa o in cantiere."
Posso scegliere giorno e ora di consegna?,"Non appena verrà affidato al corriere il tuo ordine, ti contatterà telefonicamenteper concordare l'appuntamento e la fascia oraria di sicuro presidio(evitando che la merce vada in giacenza)."
Come posso controllare l'integrità della merce alla consegna?,"Al momento della consegna dei prodotti controlla che:il numero dei colli corrisponda a quanto indicato nel documento d’accompagnamento del corrierel'imballo dei prodotti risulti integro, non danneggiato e privo di macchie di umiditàil nastro a sigillo della spedizione sia intatto (per agevolare i controlli di solito ultimiamo l’imballo delle nostre spedizioni utilizzando il film coprente bianco o blu e il nastro Tecnomat).Nel caso dievidente non conformitàodanni apparentirifiuta la consegna ed informaci entro 48 ore descrivendo l'accaduto.In caso didubbi sull'integrità della merceaccetta la consegna ma aggiungi alla firma sul documento di trasporto la scritta ""accetto con riserva per ... "" e il motivo specifico (esempio: accetto con riserva per collo bagnato, per collo schiacciato, ecc.). Se la riserva non è circostanziata, non ha alcun valore.Non effettuando una delle suddette operazioni, il corriere si solleva da ogni responsabilità per danni avvenuti durante il trasporto."
Posso scegliere la consegna al piano?,"La consegna a domicilio si intende sempre abordo strada, in prossimità dell'ingresso del numero civico.In caso di impedimenti stradali (es. strada stretta, lavori in corso ecc..) il corriere consegnerà nel punto più vicino al numero civico in cui il mezzo può arrivare.Ricordiamo che i corrieri non effettuano servizio di facchinaggio e non è possibile richiedere una consegna posticipata."
Perché in alcuni casi le spese di spedizione sono più alte?,Le spese di spedizione sono elevate perchéstai acquistando prodotti pesanti o voluminosi.Molti siti e-commerce pubblicizzano la consegna gratuita o quasi perché inglobano i costi logistici all'interno del prezzo dell'articolo.La nostra scelta è quella di offrirti ogni prodotto almiglior prezzo disponibile sulla piazza.
Posso inviare l'ordine a un indirizzo diverso dal mio?,"In fase di acquisto puoi indicare l'indirizzo presso il quale vuoi che avvenga la consegna dell'ordine:domiciliocantiereprivatoazienda.Per cantieri e aziende specifica gli oraridi sicuro presidio per evitare che il corriere non trovi nessuno e mandi la merce in giacenza.Verifica sempre che le informazioni relative all'indirizzo di consegna siano corrette e complete.Nel caso in cui il trasportatore addebiti a Tecnomat eventuali costi aggiuntivi derivanti dalla comunicazione di un indirizzo errato o incompleto, questi costi ti potrebbero essere addebitati."
Come faccio a sapere quando andare in negozio a ritirare i prodotti che ho comprato?,"Dopo aver acquistato online, puoi scegliere sericevereil tuo ordinea casaoritirarlo in negozio.Appena l'ordine è prontoper il ritiro in negozio, ti avvisiamo con unaemailin cui sono indicati:oraridi ritiroindirizzoesatto per il ritirodimensionidell'ordinepesoevolumedella merceeventualenumero di bancali.Solo per i negozi diSassari, Cavallino, Segrate, Cerro Maggioreèdisponibile l'appuntamento telefonico.Quando il tuo ordine è pronto, il negozio ti contatterà telefonicamente per prenotare giorno e ora di ritiro.Solo per i negozi diAssemini, Misterbianco, Ragusa, Capodrise, Aprilia, Sesto Fiorentino, Dalmine, Pero, Caronno Pertusella, Carate Brianza, Ferrara, Bologna, Rimini, Ravenna, San Fior e Altavilla Vicentinaèdisponibile il servizio di appuntamento per il ritiro.Quando il tuo ordine è pronto, ti invieremo una email con un link per prenotare il giorno e la fascia oraria disponibile per il ritiro dell'ordine.Il giorno del ritiro è opportuno presentarsi con unmezzo idoneoal caricamento della merce acquistata.Per maggiori informazioni consulta lapagina ritiro in negozio."
Cos'è il ritiro rapido?,"Ilservizio di ritiro rapido, al momento, èdisponibile solo nel negozio di Cerro Maggiore.Puoi scegliere tra più di 1000 prodotti ordinabili comodamente da casa, o dal tuo cantiere, e ritirare in negozio il giorno dopo.Vai sulsito Tecnomatcrea il tuo carrellocon i prodotti ritiro rapido (se nel carrello ci sono prodotti che hanno tempi di ritiro diversi, puoi scegliere di continuare con i tempi di ritiro standard, cioè 7 giorni)acquista e ritirail tuo ordine il giorno dopo.Ricorda che se decidi di pagare con bonifico bancario non possiamo applicare il servizio di ritiro rapido ma si applicheranno i tempi standard (7 giorni).Per ulteriori informazioni consulta lapagina ritiro rapido."
Quali documenti devo portare per ritirare l'ordine?,Il ritiro in negozio è possibilesoloesibendo undocumento d’identità.In caso diritiro da parte di terziè necessario presentarsi con:modulo di delegacompilatocopiadeldocumento d’identitàdell’intestatariodell’ordine.Ildocumento di delegaèscaricabiledalla tua Area personalenella sezione Modulistica.Ricordati sempre di presentarti il giorno del ritiro munito di mezzo idoneo per ritirare tutto il tuo ordine.Per ulteriori informazioni consulta lapagina ritiro in negozio.
Posso ritirare l'ordine in un negozio diverso da quello in cui ho comprato?,"I prodotti devono essere ritiratisolopresso il negozio selezionatoin cui è stato fatto l'acquisto.Non effettuiamoservizio ditrasferimento merce.Come seleziono o cambio il negozio da cui voglio acquistare?Quando entri per la prima volta sul sito, scegli il negozio più vicino a te o il negozio di riferimento perpoter conoscere prodotti, gamme, prezzi e disponibilitàdel punto vendita selezionato.Puoi modificare la tua scelta in qualsiasi momento in modo facile e veloce, vai sul nome del negozio e clicca ""cambia negozio""."
L'ordine dev'essere ritirato tutto una sola volta?,"Dopo aver acquistato online, puoi scegliere sericevere il tuo ordine a casaoritirarlo in negozio.Se scegli di ritirare il tuo ordine direttamente nel negozio scelto in fase di acquisto deviritirare i prodottitutti in un unico momento.C'è un servizio di deposito?Tecnomatnon effettua servizio di deposito, hai tempo 7giorni dalla ricezione della emaildi ordine prontoper poter ritirare i tuoi prodotti senza nessun costo di giacenza.Decorsi i 7 giorni, Tecnomat ti custodisce i prodotti per ulteriori 7 giorni lavorativi, presso il negozio prescelto, ad un costo di giacenza pari a €3 al giorno per ogni bancale, addebitati al momento del ritiro e a discrezione del negozio.Trascorsi i 7 giorni lavorativi dalla ricezione dell’avviso, senza riscontro, il Contratto di Vendita si intende risolto, l'ordine annullato e il relativo importo rimborsato nella stessa modalità di pagamento utilizzata in fase di acquisto, detratti i costi di preparazione e giacenza."
Posso delegare qualcuno per il ritiro?,Ilritiro in negoziopuò essere fatto anche da unincaricato diverso dall'intestatariodell'ordine.Per procedere con il ritiro in negozio con delega è necessario presentarsi con:ilmodulo di delegacompilatounacopia del documentod’identità dell’intestatariodell’ordine.Ildocumento di delega è scaricabiledalla tuaArea personalenella sezione Modulistica.Per ulteriori informazioni consulta lapagina ritiro in negozio.
Cos'è il servizio di locker Tecnomat?,"Ilservizio di ritiro lockerè attualmentedisponibile solo nel negozio di Cerro Maggiore.Fai il tuo ordine con ritiro in negozio e, in base alla tipologia di acquisto, lo disporremo nel locker o potrai fare il ritiro direttamente in negozio.Vai sulsito Tecnomatcrea il tuo ordineattendi l'email con il codice di ritiroe QR code per il ritiro presso il lockervai al locker in negozio, digita il codice o scansiona il QR code, segui le istruzioni sullo schermo e ritira il tuo ordine.Per ulteriori informazioni consulta la nostrapagina dedicata al locker."
Offrite il servizio di deposito?,"Tecnomatnon effettua servizio di deposito, hai tempo7 giorni dalla ricezione della emaildi ordine prontoper poter ritirare i tuoi prodotti senza nessun costo di giacenza.Decorsi i 7 giorni, Tecnomat ti custodisce i prodotti per ulteriori 7 giorni lavorativi, presso il negozio prescelto, ad un costo di giacenza pari a €3 al giorno per ogni bancale, addebitati al momento del ritiro e a discrezione del negozio.Trascorsi i 7 giorni lavorativi dalla ricezione dell’avviso, senza riscontro, il Contratto di Vendita si intende risolto, l'ordine annullato e il relativo importo rimborsato nella stessa modalità di pagamento utilizzata in fase di acquisto, detratti i costi di preparazione e giacenza."
Offrite il servizio di posa e installazione?,Nei negozi Tecnomat è possibile richiedere unservizio di posa effettuato dai nostri partner posatori per serramenti in pronta consegna o su misura:finestrepersianescuritapparellecassonetti.Per ulteriori informazioni consulta lapagina posa e Installazione.
Offrite il servizio di taglio legno?,"Effettuiamo ilservizio di taglio legno su misura, in una zona dedicata del reparto falegnameria di tutti i negozi Tecnomat.Iprimi due tagli sono gratuiti, dal terzo il costo è €0,50 al pezzo."
Offrite la possibilità di fare prodotti personalizzati o su misura?,"Nei negozi Tecnomat puoi fare preventivi personalizzati per l'acquisto dei seguenti prodotti su misura:finestretapparelle, veneziane e tende a rullopersiane e scuri, tende da sole, porte tagliafuoco, falsi telai a taglio termico, cassonetti per tapparelle, cancelletti estensibili, porte basculanti e porte sezionali."
"Sono un artigiano. Posso offrire servizi di posa, installazione e montaggio dei vostri prodotti ai clienti Tecnomat?","Tecnomatcerca posatori di infissi e di impianti fotovoltaiciper entrare nella squadra di posatori partner.Per conoscere tutti i requisiti, i vantaggi e ulteriori informazioni consulta lapagina partner posatori infissi."
Come posso inviare il mio CV per lavorare in Tecnomat?,"L’invio delle candidature avviene esclusivamente tramite ilsito dedicato alle opportunità di lavoro.Il processo è facile, veloce e garantisce un'attenta presa in carico delle candidature.Ti consigliamo divisitare e monitorare costantemente il sitoper trovare leposizioni apertecostantemente aggiornate, lericerche legate alle prossime aperture, con la possibilità di candidarti direttamente e scoprire di più su di noi, sui nostri valori e sul nostro modo di lavorare."
Offrite il servizio di tintometria?,"In tutti i negozi Tecnomat è presente unamacchina tintometrica professionalee unospettrofotometroper realizzaretinte personalizzate,replicare coloriesistenti e, su ordinazione, usufruire di unservizio tintometrico industrialeadatto alle grandi superfici.Puoi trovare il servizio in corrispondenza delreparto vernicio all'esterno nei pressi delcentro edilizia.Per ulteriori informazioni consulta lapagina dedicata ai colori su misura."
Come invio la proposta per un prodotto o un servizio che può interessarvi?,"Se desideri candidarticome fornitore di un prodotto o di un servizio,Contattaci qui."
È possibile fare acquisti in rete per la Pubblica Amministrazione?,Per informazioni suacquisti in rete per la Pubblica Amministrazioneè necessario contattarci all'indirizzo email dedicato:vendite.pa@tecnomat.it.Per ulteriori informazioni consulta lapagina Acquisti Pubblica Amministrazione.
Qual è il numero di telefono del Servizio Clienti?,Per metterti in contatto con il nostro Servizio Clienti eavere la risposta che cerchi in modo veloce e praticopuoi scriverci dalla sezioneContattaci.Il nostroServizio Clientirisponde anche alnumero unico 02 8390 5463.Il servizio è su scala nazionale ma puoi sempre essere messo in contatto con il tuo negozio di interesse.Il servizio è disponibile:lunedì - venerdìdalle 8:00 alle 18:00sabatodalle 8:00 alle 13:00.Quando il servizio non è attivo puoiscriverci dalla sezioneContattaciper avere una risposta diretta alla tua richiesta.
Qual è il Negozio Tecnomat più vicino a me?,Per conoscere ilnegozio Tecnomat più vicino a tee tutti i punti vendita consulta lapagina Negoziche trovi sul nostro sito.
Quali sono gli orari di apertura di un Negozio Tecnomat?,"Puoi consultare gliorari, lechiusuree leaperturestraordinarie del negozio di tuo interesse cliccando, in alto a sinistra, sulla freccia accanto al nome del negozio.Per conosceretutte le informazioni di un negozio Tecnomat,consulta lapagina Negozie scegli il negozio di tuo interesse."
I Negozi Tecnomat sono aperti durante le festività?,"I negozi Tecnomat sonoaperti tutto l'anno, domeniche e festività comprese,ad esclusione di eccezionie nelleseguenti date:1 gennaioPasqua e Lunedì dell'Angelo1 maggio15 agosto25 dicembre26 dicembreTutte leaperture straordinariesono consultabili nel dettaglio del tuo negozio di riferimento, cliccando, in alto a sinistra, sulla freccia accanto al nome del negozio."
Come faccio a sapere se apre un Tecnomat vicino a me?,Per rimanereaggiornato sulle nuove apertureti consigliamo di consultare le nostre paginesocial Tecnomat:FacebookInstagramLinkedinTikTokYouTube.Per conoscere tutte le informazioni sulle nuoveofferte di lavoro in Tecnomatconsulta la paginaLavoroche trovi sul nostro sito.
Vorrei sapere se un prodotto è disponibile. Come faccio?,"Sul sito Tecnomat trovi l'indicazione della quantitàdisponibile del prodotto che cerchi.Seleziona il negozioper vedere la disponibilità del prodotto che ti interessaQuando entri per la prima volta sul sito, scegli il negozio più vicino a te o il negozio di riferimento perpoter conoscere prodotti,gamme,prezziedisponibilitàdel punto vendita selezionato. Puoi modificare la tua scelta in qualsiasi momento in modo facile e veloce, vai sul nome del negozio e clicca ""cambia negozio"".cerca o navigasuwww.tecnomat.itper trovare il prodotto giustoentra nella pagina dedicata all'articoloe scopri le quantità disponibili:ONLINEè la quantità che hai a disposizione per un ordine sul nostro sito, con consegna o ritiro nel negozio selezionatoIN NEGOZIOè la quantità che trovi se ti rechi nel punto vendita selezionato.Vuoi saperne di più?Nel sito sono presenti alcuni casi particolari in cui, nella pagina dedicata al prodotto, non è indicata la disponibilità:DISPONIBILE A BREVEsignifica che il prodotto, nel negozio scelto, è temporaneamente non disponibile. Per conoscere le disponibilità è possibile cliccare su ""avvisami quando disponibile"" per ricevere una email o aspettare l'approvvigionamento.SU ORDINAZIONEsignifica che il prodotto non è disponibile immediatamente e puoi ordinarlo solo recandoti in negozio."
"Il prodotto che cerco non è disponibile, come faccio a sapere quando torna disponibile?","Quando un prodotto è temporaneamente non disponibile, sulla scheda si attiva il pulsante""Avvisami quando disponibile"".Questa funzione permette di ricevere unavviso tramite emailnon appena il prodotto è nuovamente disponibile, solo per gliutenti registrati al sito."
Ho bisogno della scheda di posa o la certificazione di un prodotto che ho acquistato. Dove posso trovarla?,"Sulsito Tecnomatpubblichiamo tutte leschede tecniche, di posa, di sicurezza e certificazionidi cui disponiamo.Sonosempre consultabilidirettamente sulla pagina di ciascun prodotto. Se non trovi il documento che cerchi,Contattaci."
Posso ordinare o prenotare un prodotto con disponibilità a breve?,"Quando un prodotto è con statoA BREVEsignifica che in quel negozioè temporaneamente non disponibilee non è possibile ordinarlo o prenotarlo.Se sei un cliente registratopuoi cliccare su""avvisami quando torna disponibile""e ricevere una email per conoscere quando il prodotto tornerà in stock nel negozio di riferimento.Le quantità saranno nuovamente visibili online quando il prodotto sarà nuovamente approvvigionato."
Ho visto un prodotto in negozio ma non lo trovo sul sito. Come posso trovarlo?,Se hai visto un prodotto in un nostro negozio ma non riesci a trovarlo online scrivi nella sezioneContattacie indica il negozio e il prodotto che non vedi nel nostro sito.
I prezzi online sono gli stessi del Negozio?,"Iprezzi dei prodotti onlinesulsito Tecnomatdi ogni negozio sono sempreuguali a quelli del punto vendita.Ricorda sempre di selezionare il negozio di riferimento da cui vuoi acquistare.Vuoi saperne di più?Quando entri per la prima volta sul sito, scegli il negozio più vicino a te o il negozio di riferimento per poter conoscere prodotti, gamme, prezzi e disponibilità del punto vendita selezionato.Puoi modificare la tua scelta in qualsiasi momento in modo facile e veloce, vai sul nome del negozio e clicca ""cambia negozio""."
I prezzi possono cambiare da negozio a negozio?,I prezzi e le gamme dei prodotti possono cambiare da negozio a negozio perché sono adattati al mercato locale.La scelta di Tecnomat è quella di offrirtiogni prodotto al miglior prezzo disponibile sulla piazza.
Cosa significa prodotto su ordinazione?,Quando un prodotto è con statoSU ORDINAZIONEsignifica chenon è disponibile immediatamentee non puoi ordinarlo o acquistarlo online sul nostro sito.Recati in negozio e chiedi ai venditori per poter ordinare il prodotto scelto.
I prezzi Tecnomat sono Iva inclusa?,"I nostri prezzi sonosempre Iva inclusa: in negozio, sul catalogo e online."
Quali sono i metodi di pagamento accettati?,"I metodi di pagamento accettati per gli ordini online sono:carte di credito (Mastercard, Visa, Maestro, Visa Electron e PostePay)Se decidi di pagare con carta di credito devi fornire i dettagli della tua carta al momento del check out. L’importo totale dell’ordine non è addebitato immediatamente, all'inserimento dei dati della carta di credito, ma è richiesta solo la pre-autorizzazione alla spesa, con plafond necessario all’acquisto. L’addebito effettivo avviene solo quando i prodotti sono pronti per il ritiro o per la consegna.bonifico bancarioSe decidi di pagare con bonifico puoi conoscere tutti i dati per il pagamento nella email di conferma di ricevimento dell’ordine. Il bonifico deve pervenire entro 7 giorni dalla data dell’ordine.PaypalSe decidi di pagare con PayPal sei reindirizzato al sito di PayPal dove puoi accedere al tuo conto. L’importo totale dell’ordine non è addebitato immediatamente, all'inserimento dei dati del conto Paypal, ma è richiesta solo la pre-autorizzazione alla spesa, con plafond necessario all’acquisto. L’addebito effettivo avviene solo quando i prodotti sono pronti per il ritiro o per la consegna.Paga in 3 rate con Paypal.Il servizio ""Paga in 3 rate"" è un finanziamento in base al quale l'utente può pagare in tre rate, senza interessi, gli acquisti idonei (da €30 a €2.000) effettuati utilizzando il proprio conto PayPal. Al momento dell'acquisto viene effettuato un pagamento iniziale a cui fanno seguito rate mensili distribuite su due mesi, a partire dalla data di sottoscrizione del contratto di finanziamento. Il finanziamento avviene direttamente con PayPal, non con Tecnomat, in caso di rifiuto o di anomalia della rateizzazione è necessario contattare direttamente l'assistenza PayPal.Per ulteriori approfondimenti consulta la pagina dedicata suPayPal.Tutti imetodi di pagamento sono sempre visibilinella parte bassa del sito."
Come funziona il pagamento a rate con PayPal?,"Il pagamento a rate con PayPal è uno dei metodi di pagamento accettato su sito Tecnomat.Il servizio""Paypal Paga in 3 rate""è un finanziamento in cui si può pagare intre rate senza interessigli acquisti idonei (da €30 a €2.000) effettuati utilizzando il proprio conto PayPal.Al momento dell'acquisto viene effettuato unpagamento inizialea cui fanno seguitorate mensilidistribuite su due mesi, a partire dalla data di sottoscrizione del contratto di finanziamento. Ilfinanziamento avviene direttamente con PayPal, non con Tecnomat, in caso di rifiuto o di anomalia della rateizzazione è necessario contattare direttamente l'assistenza PayPal.Per ulteriori informazioni consulta la pagina dedicata suPayPal."
Cosa posso fare se ho un problema tecnico con il pagamento online?,"Se riscontri un problema tecnico durante un pagamento online,Contattacispecificando l'anomaliache stai riscontrando.Per velocizzare l'individuazione del problema e la risoluzione ti chiediamo di allegarci nella richiestala schermata di errore."
Cosa posso fare se il pagamento è stato rifiutato?,"Se il pagamento non è andato a buon fine e non sai per quale motivo,Contattaciindicando l'email dell'accountcon cui hai fatto l'ordine.Per velocizzare l'individuazione del problema e la risoluzione ti chiediamo di allegarci nella richiestala schermata di errore."
